Year,District,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
2012,Mitte,1253.0,610.0,7921.0,2362.0,2242.0,36486.0,620.0,4317.0,3358.0,1695.0,354.0,140.0,6180.0,1346.0,2849.0,16545.0
2012,Friedrichshain-Kreuzberg,868.0,504.0,4613.0,1383.0,1153.0,22050.0,436.0,2380.0,3285.0,1214.0,314.0,105.0,5499.0,1311.0,1853.0,11001.0
2012,Pankow,410.0,166.0,2790.0,687.0,963.0,20310.0,770.0,2553.0,4139.0,1092.0,207.0,83.0,4722.0,1294.0,522.0,8441.0
2012,Charlottenburg-Wilmersdorf,643.0,248.0,4224.0,1195.0,1427.0,24061.0,707.0,3770.0,3173.0,1544.0,133.0,45.0,3975.0,847.0,1064.0,9997.0
2012,Spandau,359.0,143.0,2848.0,700.0,1090.0,11084.0,253.0,1470.0,1058.0,589.0,175.0,61.0,3257.0,542.0,481.0,7225.0
2012,Steglitz-Zehlendorf,284.0,110.0,1752.0,348.0,849.0,12410.0,466.0,2376.0,1568.0,961.0,115.0,39.0,3082.0,772.0,298.0,4818.0
2012,Tempelhof-Schöneberg,546.0,241.0,3216.0,735.0,1301.0,17414.0,504.0,2973.0,2169.0,1123.0,208.0,69.0,3907.0,822.0,1066.0,8263.0
2012,Neukölln,767.0,379.0,4368.0,1272.0,1594.0,19121.0,394.0,2872.0,1453.0,1388.0,242.0,95.0,4558.0,789.0,1578.0,11342.0
2012,Treptow-Köpenick,225.0,94.0,1923.0,426.0,668.0,9881.0,317.0,1571.0,1600.0,605.0,144.0,60.0,3317.0,1016.0,309.0,4571.0
2012,Marzahn-Hellersdorf,331.0,148.0,3052.0,625.0,929.0,9714.0,451.0,1778.0,1075.0,457.0,242.0,77.0,3435.0,800.0,308.0,6202.0
2012,Lichtenberg,260.0,112.0,2570.0,586.0,789.0,11911.0,445.0,1979.0,1418.0,632.0,187.0,67.0,3355.0,896.0,335.0,6252.0
2012,Reinickendorf,337.0,131.0,2876.0,713.0,1191.0,12898.0,369.0,2464.0,1540.0,985.0,193.0,63.0,3295.0,635.0,1024.0,6815.0
2013,Mitte,1096.0,573.0,7515.0,1966.0,2233.0,39314.0,638.0,4753.0,3547.0,1497.0,328.0,121.0,5744.0,1392.0,2864.0,16300.0
2013,Friedrichshain-Kreuzberg,906.0,622.0,4792.0,1437.0,1168.0,24474.0,602.0,2636.0,3515.0,1090.0,265.0,90.0,5094.0,1168.0,2391.0,11289.0
2013,Pankow,332.0,147.0,2793.0,632.0,1051.0,21063.0,862.0,3138.0,4203.0,992.0,233.0,111.0,4096.0,1075.0,539.0,8370.0
2013,Charlottenburg-Wilmersdorf,639.0,258.0,3998.0,1049.0,1507.0,25733.0,720.0,4686.0,2973.0,1663.0,149.0,64.0,3759.0,889.0,1180.0,10062.0
2013,Spandau,295.0,139.0,2817.0,661.0,1078.0,11725.0,303.0,1650.0,964.0,598.0,174.0,45.0,2920.0,481.0,528.0,7358.0
2013,Steglitz-Zehlendorf,288.0,123.0,1786.0,337.0,872.0,14146.0,545.0,3275.0,1601.0,1256.0,127.0,40.0,2537.0,643.0,423.0,5008.0
2013,Tempelhof-Schöneberg,600.0,288.0,3320.0,808.0,1278.0,18641.0,506.0,3253.0,2169.0,1022.0,232.0,67.0,3465.0,673.0,1122.0,8411.0
2013,Neukölln,752.0,411.0,4079.0,1191.0,1498.0,19538.0,558.0,3332.0,1558.0,1163.0,251.0,102.0,4313.0,660.0,1635.0,10506.0
2013,Treptow-Köpenick,209.0,109.0,2009.0,435.0,775.0,10769.0,500.0,2236.0,1923.0,451.0,171.0,76.0,2822.0,827.0,342.0,4656.0
2013,Marzahn-Hellersdorf,327.0,158.0,3139.0,615.0,972.0,9830.0,508.0,2032.0,1114.0,416.0,240.0,82.0,2818.0,620.0,324.0,6229.0
2013,Lichtenberg,282.0,129.0,2433.0,500.0,753.0,12074.0,619.0,2147.0,1474.0,512.0,209.0,91.0,2909.0,711.0,409.0,6101.0
2013,Reinickendorf,362.0,178.0,2780.0,616.0,1148.0,13110.0,267.0,2514.0,1348.0,903.0,182.0,83.0,2699.0,434.0,989.0,6773.0
2014,Mitte,1014.0,521.0,6779.0,1736.0,2084.0,41934.0,535.0,4352.0,4669.0,1524.0,305.0,125.0,5406.0,1167.0,2880.0,15703.0
2014,Friedrichshain-Kreuzberg,940.0,650.0,4766.0,1519.0,1212.0,28793.0,485.0,3107.0,4335.0,904.0,314.0,109.0,5034.0,1015.0,3039.0,11082.0
2014,Pankow,313.0,170.0,2587.0,635.0,951.0,22010.0,816.0,3074.0,4660.0,1138.0,172.0,70.0,3994.0,1036.0,500.0,8463.0
2014,Charlottenburg-Wilmersdorf,641.0,338.0,3840.0,907.0,1493.0,26829.0,767.0,4674.0,3117.0,1746.0,134.0,58.0,3422.0,769.0,1208.0,10047.0
2014,Spandau,344.0,195.0,2724.0,619.0,988.0,11390.0,312.0,1885.0,1174.0,555.0,174.0,70.0,2446.0,309.0,549.0,6408.0
2014,Steglitz-Zehlendorf,210.0,115.0,1575.0,303.0,789.0,13092.0,582.0,2808.0,1860.0,1379.0,139.0,52.0,2580.0,585.0,433.0,4695.0
2014,Tempelhof-Schöneberg,496.0,306.0,3117.0,705.0,1255.0,19062.0,504.0,3336.0,2540.0,1117.0,213.0,73.0,3367.0,624.0,1146.0,8064.0
2014,Neukölln,580.0,320.0,3952.0,1047.0,1428.0,19689.0,538.0,3482.0,1732.0,1281.0,218.0,91.0,4253.0,726.0,1180.0,9544.0
2014,Treptow-Köpenick,209.0,132.0,1804.0,376.0,727.0,11867.0,566.0,2603.0,2070.0,495.0,143.0,72.0,2517.0,545.0,392.0,4729.0
2014,Marzahn-Hellersdorf,260.0,159.0,2982.0,545.0,911.0,9507.0,477.0,1783.0,1173.0,381.0,162.0,58.0,2565.0,411.0,344.0,6181.0
2014,Lichtenberg,236.0,141.0,2382.0,487.0,780.0,12407.0,695.0,2467.0,1750.0,535.0,133.0,53.0,2508.0,553.0,378.0,5708.0
2014,Reinickendorf,340.0,181.0,2682.0,636.0,1115.0,13375.0,352.0,2461.0,1354.0,1094.0,215.0,77.0,2586.0,426.0,829.0,7076.0
2015,Mitte,1040.0,589.0,7107.0,1923.0,2078.0,46613.0,509.0,4846.0,4594.0,1265.0,253.0,110.0,5256.0,1210.0,2638.0,15078.0
2015,Friedrichshain-Kreuzberg,1027.0,581.0,4708.0,1500.0,1106.0,32845.0,513.0,3325.0,4215.0,866.0,228.0,93.0,4723.0,1292.0,5571.0,11223.0
2015,Pankow,303.0,151.0,2667.0,619.0,952.0,26000.0,753.0,3356.0,4568.0,1068.0,196.0,81.0,4243.0,1279.0,510.0,11470.0
2015,Charlottenburg-Wilmersdorf,536.0,288.0,3805.0,880.0,1355.0,30622.0,741.0,4499.0,3824.0,1567.0,145.0,64.0,3401.0,548.0,885.0,10407.0
2015,Spandau,269.0,142.0,2622.0,577.0,1074.0,11832.0,369.0,1755.0,924.0,586.0,153.0,64.0,2250.0,319.0,493.0,6631.0
2015,Steglitz-Zehlendorf,180.0,98.0,1596.0,315.0,740.0,13437.0,495.0,2481.0,2352.0,1281.0,86.0,34.0,2396.0,569.0,356.0,4478.0
2015,Tempelhof-Schöneberg,425.0,247.0,3119.0,709.0,1186.0,20377.0,577.0,2967.0,2917.0,1044.0,169.0,58.0,3330.0,592.0,900.0,7933.0
2015,Neukölln,582.0,326.0,3762.0,1018.0,1367.0,21690.0,541.0,3226.0,2383.0,1182.0,253.0,108.0,4161.0,647.0,1683.0,9854.0
2015,Treptow-Köpenick,197.0,98.0,1860.0,434.0,730.0,11706.0,460.0,1760.0,2079.0,709.0,155.0,70.0,2360.0,462.0,517.0,4798.0
2015,Marzahn-Hellersdorf,222.0,121.0,2841.0,534.0,875.0,9624.0,584.0,1941.0,995.0,684.0,186.0,44.0,2655.0,465.0,367.0,5720.0
2015,Lichtenberg,212.0,110.0,2334.0,502.0,645.0,12785.0,735.0,2133.0,1854.0,730.0,148.0,58.0,2533.0,538.0,387.0,5669.0
2015,Reinickendorf,325.0,163.0,2891.0,653.0,1152.0,13835.0,372.0,2452.0,1232.0,823.0,131.0,50.0,2533.0,550.0,869.0,6959.0
2016,Mitte,976.0,611.0,7405.0,1936.0,2047.0,48785.0,533.0,4973.0,5038.0,1354.0,309.0,112.0,5576.0,1268.0,3350.0,16015.0
2016,Friedrichshain-Kreuzberg,947.0,574.0,4559.0,1453.0,1084.0,29984.0,475.0,3156.0,4646.0,775.0,294.0,114.0,5294.0,1415.0,4431.0,11368.0
2016,Pankow,316.0,163.0,2834.0,628.0,1035.0,23824.0,720.0,2983.0,4835.0,1232.0,253.0,99.0,4296.0,1310.0,595.0,9371.0
2016,Charlottenburg-Wilmersdorf,523.0,292.0,3919.0,865.0,1418.0,28893.0,755.0,4345.0,3446.0,1095.0,175.0,83.0,3497.0,668.0,948.0,9441.0
2016,Spandau,265.0,155.0,2909.0,670.0,1052.0,11982.0,307.0,1721.0,1071.0,705.0,166.0,67.0,2324.0,304.0,446.0,6370.0
2016,Steglitz-Zehlendorf,162.0,88.0,1742.0,347.0,747.0,13972.0,601.0,2610.0,2543.0,1162.0,142.0,66.0,2541.0,498.0,361.0,4528.0
2016,Tempelhof-Schöneberg,415.0,255.0,3286.0,696.0,1145.0,20586.0,745.0,3072.0,3032.0,986.0,226.0,90.0,3414.0,618.0,1041.0,8040.0
2016,Neukölln,513.0,290.0,4026.0,1190.0,1411.0,22311.0,633.0,3118.0,2175.0,1228.0,239.0,116.0,4060.0,641.0,1107.0,10662.0
2016,Treptow-Köpenick,146.0,85.0,2139.0,451.0,718.0,12524.0,676.0,1772.0,2772.0,693.0,161.0,81.0,2388.0,513.0,371.0,4979.0
2016,Marzahn-Hellersdorf,235.0,140.0,3005.0,538.0,898.0,10364.0,649.0,1892.0,1088.0,638.0,210.0,64.0,2916.0,630.0,357.0,6188.0
2016,Lichtenberg,237.0,147.0,2664.0,547.0,829.0,14126.0,807.0,2599.0,2193.0,660.0,177.0,75.0,2715.0,556.0,429.0,6181.0
2016,Reinickendorf,311.0,162.0,2851.0,703.0,1173.0,13841.0,404.0,2274.0,1297.0,959.0,177.0,65.0,2747.0,594.0,971.0,6930.0
2017,Mitte,763.0,465.0,7856.0,2002.0,2221.0,41915.0,485.0,4440.0,4378.0,960.0,287.0,113.0,5625.0,1488.0,3839.0,15900.0
2017,Friedrichshain-Kreuzberg,608.0,374.0,4536.0,1589.0,1139.0,25208.0,413.0,2981.0,4119.0,611.0,179.0,68.0,4629.0,1324.0,4541.0,9988.0
2017,Pankow,303.0,154.0,3103.0,804.0,1013.0,19757.0,582.0,2878.0,4024.0,832.0,195.0,74.0,4126.0,1401.0,632.0,8466.0
2017,Charlottenburg-Wilmersdorf,401.0,198.0,3967.0,921.0,1319.0,25950.0,875.0,3973.0,3352.0,962.0,157.0,65.0,3806.0,978.0,942.0,9595.0
2017,Spandau,256.0,138.0,2960.0,731.0,980.0,11303.0,306.0,1636.0,1272.0,603.0,148.0,67.0,2281.0,364.0,476.0,5999.0
2017,Steglitz-Zehlendorf,146.0,69.0,1674.0,335.0,796.0,11441.0,476.0,1892.0,2197.0,768.0,187.0,71.0,2582.0,667.0,373.0,4239.0
2017,Tempelhof-Schöneberg,355.0,184.0,3197.0,720.0,1139.0,19009.0,562.0,3012.0,2745.0,719.0,216.0,83.0,3199.0,636.0,1095.0,7542.0
2017,Neukölln,480.0,260.0,3950.0,1171.0,1333.0,20420.0,597.0,3227.0,2167.0,967.0,237.0,108.0,3764.0,668.0,1311.0,10112.0
2017,Treptow-Köpenick,200.0,113.0,2306.0,497.0,750.0,11453.0,674.0,2100.0,2023.0,439.0,105.0,48.0,2871.0,890.0,495.0,5042.0
2017,Marzahn-Hellersdorf,199.0,111.0,3152.0,558.0,871.0,9941.0,676.0,1732.0,1047.0,458.0,140.0,44.0,2871.0,768.0,357.0,6356.0
2017,Lichtenberg,218.0,140.0,2640.0,577.0,785.0,12488.0,691.0,2261.0,1723.0,529.0,183.0,64.0,2772.0,688.0,515.0,5759.0
2017,Reinickendorf,236.0,118.0,2942.0,703.0,1106.0,11335.0,305.0,2176.0,1035.0,724.0,176.0,67.0,2459.0,556.0,927.0,6029.0
2018,Mitte,733.0,449.0,7450.0,1854.0,2068.0,37802.0,465.0,3654.0,4173.0,775.0,245.0,75.0,5528.0,1510.0,3792.0,14899.0
2018,Friedrichshain-Kreuzberg,632.0,426.0,4739.0,1587.0,1145.0,24384.0,356.0,2781.0,4253.0,632.0,196.0,60.0,4467.0,1129.0,4625.0,10262.0
2018,Pankow,320.0,177.0,3109.0,753.0,1044.0,17761.0,603.0,2046.0,4260.0,711.0,197.0,71.0,3760.0,1082.0,746.0,7325.0
2018,Charlottenburg-Wilmersdorf,417.0,205.0,4047.0,1011.0,1377.0,25374.0,681.0,3177.0,3474.0,933.0,195.0,92.0,3558.0,813.0,1024.0,10888.0
2018,Spandau,315.0,184.0,3046.0,741.0,1059.0,10802.0,343.0,1680.0,1189.0,365.0,164.0,73.0,2194.0,241.0,584.0,6423.0
2018,Steglitz-Zehlendorf,137.0,63.0,1862.0,373.0,821.0,11633.0,334.0,2310.0,2122.0,663.0,154.0,57.0,2452.0,618.0,460.0,4525.0
2018,Tempelhof-Schöneberg,336.0,183.0,3272.0,795.0,1191.0,20434.0,419.0,2694.0,2708.0,746.0,188.0,73.0,3441.0,824.0,1386.0,9927.0
2018,Neukölln,505.0,286.0,4030.0,1153.0,1379.0,19562.0,452.0,3335.0,1849.0,736.0,241.0,110.0,3870.0,635.0,1633.0,10040.0
2018,Treptow-Köpenick,216.0,125.0,2400.0,500.0,853.0,11145.0,466.0,1735.0,2139.0,496.0,176.0,75.0,2673.0,687.0,574.0,5337.0
2018,Marzahn-Hellersdorf,168.0,100.0,3060.0,573.0,968.0,8456.0,557.0,1324.0,1018.0,370.0,243.0,74.0,2822.0,575.0,485.0,5881.0
2018,Lichtenberg,185.0,110.0,2935.0,651.0,900.0,11974.0,621.0,1786.0,1805.0,468.0,200.0,75.0,2765.0,590.0,543.0,6230.0
2018,Reinickendorf,238.0,109.0,2878.0,665.0,1160.0,10630.0,374.0,2155.0,988.0,673.0,135.0,51.0,2353.0,399.0,848.0,6026.0
2019,Mitte,707.0,407.0,7595.0,1951.0,2157.0,35601.0,401.0,3330.0,3817.0,845.0,291.0,104.0,6142.0,1601.0,4233.0,15967.0
2019,Friedrichshain-Kreuzberg,820.0,579.0,5006.0,1752.0,1237.0,25650.0,387.0,2120.0,4094.0,513.0,282.0,102.0,5349.0,1454.0,5232.0,12431.0
2019,Pankow,284.0,176.0,3174.0,651.0,1156.0,17202.0,626.0,1985.0,3976.0,846.0,201.0,72.0,4249.0,1224.0,788.0,8054.0
2019,Charlottenburg-Wilmersdorf,420.0,212.0,4131.0,969.0,1484.0,22571.0,575.0,3352.0,3088.0,1096.0,225.0,122.0,3911.0,852.0,1174.0,10407.0
2019,Spandau,211.0,97.0,2744.0,619.0,1057.0,9694.0,397.0,1349.0,903.0,395.0,194.0,97.0,2332.0,236.0,606.0,5941.0
2019,Steglitz-Zehlendorf,217.0,128.0,1884.0,362.0,862.0,11356.0,402.0,1927.0,2146.0,777.0,194.0,72.0,2709.0,756.0,412.0,4876.0
2019,Tempelhof-Schöneberg,352.0,202.0,3353.0,762.0,1377.0,17618.0,464.0,2554.0,2511.0,779.0,213.0,89.0,3599.0,934.0,1209.0,8879.0
2019,Neukölln,480.0,273.0,4072.0,1219.0,1467.0,19291.0,370.0,2836.0,2251.0,916.0,222.0,124.0,3996.0,555.0,2126.0,10677.0
2019,Treptow-Köpenick,169.0,103.0,2452.0,562.0,859.0,11108.0,582.0,1733.0,2152.0,458.0,219.0,110.0,2830.0,636.0,633.0,5816.0
2019,Marzahn-Hellersdorf,239.0,153.0,2967.0,588.0,906.0,8605.0,598.0,1379.0,785.0,331.0,228.0,89.0,2656.0,445.0,544.0,5934.0
2019,Lichtenberg,260.0,168.0,3043.0,675.0,950.0,11637.0,638.0,1631.0,1651.0,379.0,202.0,89.0,2986.0,514.0,534.0,6882.0
2019,Reinickendorf,236.0,129.0,2614.0,644.0,1092.0,9989.0,311.0,1706.0,1082.0,623.0,145.0,60.0,2227.0,428.0,843.0,5717.0
